latitude,longitude,elevation,time
53.092299,22.961781,122.9,
53.094508,22.963155,120.4,
53.100884,22.96844,122.6,
53.101418,22.968538,122.3,
53.102021,22.968473,122.1,
53.106649,22.96761,126.9,
53.110962,22.967278,134.4,
53.111417,22.967273,134.7,
53.111959,22.967381,135.1,
53.116338,22.968642,137.2,
53.116714,22.96881,137.9,
53.117791,22.969409,141.3,
53.118328,22.969775,141.0,
53.118843,22.970181,139.3,
53.122039,22.973487,136.6,
53.126165,22.977894,133.7,
53.126165,22.977894,133.7,
53.127007,22.977999,129.8,
53.129005,22.977633,126.5,
53.129675,22.977618,126.9,
53.130346,22.977809,127.0,
53.130943,22.978162,126.8,
53.13493,22.981373,116.6,
53.135368,22.981867,116.3,
53.135704,22.982504,116.0,
53.136422,22.984934,114.9,
53.139381,22.98464,113.1,
